Spectrum File Name,Forward Power [W],Flow Rate [sccm],Chamber Pressure [Torr],Aperture Opening [mm],Regulator Pressure [PSIG],Time [s],N2 Area,NI Area,NII Area,NIII Area,NIV Area
325W_9.0sccm_3.60E-5_160PSIG_109.5turn.txt,325,9,0.000036,5.475,160,0,0.786895321332758,0.203277876744299,0.00714792480298997,2.43095429717687E-18,0.000453595309899168
347W_4.9sccm_9.00E-5_100PSIG_108turn.txt,347,4.9,0.00009,5.4,100,0,0.690783362778707,0.200350224503823,0.106627809434238,0.00251699783760677,0.000239699106023726
250W_4.9sccm_1.29E-5_100PSIG_94.5turn.txt,250,4.9,0.0000129,4.725,100,0,0.680380228012191,0.294718503078222,0.0221124012719352,5.64475776789234E-19,0.000491383500801177
456W_9.0sccm_1.3E-5_180PSIG_94.5turn.txt,456,9,0.000013,4.725,180,0,0.589713316163238,0.362231200468746,0.047371142854661,0.000351022566846478,0.000566256643604228
173W_0.7sccm_1.10E-5_60PSIG_93turn.txt,173,0.7,0.000011,4.65,60,0,0.744962169833466,0.150572582392824,0.095185736838032,0.00361126357577349,0.00153595233227455
347W_0.9sccm_8.82E-5_60PSIG_108turn.txt,347,0.9,0.0000882,5.4,60,0,0.737467418205197,0.18418472020553,0.0772246603797434,0.00159421227659284,0.00031202672519402
230W_6.0sccm_5.58E-5_140PSIG_111turn.txt,230,6,0.0000558,5.55,140,0,0.786669675104837,0.139461230978021,0.0655104959999201,0.00298879152405666,0.00103386823914729
194W_8.0sccm_5.67E-5_160PSIG_106turn_600sec.txt,194,8,0.0000567,5.3,160,600,0.888512705804133,0.0905975074525045,0.0178657750818364,2.80531589800978E-05,0.000180676620008801
495W_4.9sccm_5.52E-5_140PSIG_111turn.txt,495,4.9,0.0000552,5.55,140,0,0.642154408590543,0.28935789849261,0.0619304571697932,0.00335596697934165,0.00129774478948193
220W_0.9sccm_3.41E-5_50PSIG_109turn.txt,220,0.9,0.0000341,5.45,50,0,0.728273979175395,0.155030024546003,0.112268812545346,0.00224992568208237,0.000268928491581948
240W_2.0sccm_5.48E-5_160PSIG_107turn_0sec.txt,240,2,0.0000548,5.35,160,0,0.700966449890433,0.159966684120957,0.133602840541253,0.00319661647520294,0.000324857467480307
455W_4.9sccm_8.93E-5_100PSIG_108turn.txt,455,4.9,0.0000893,5.4,100,0,0.744401758587407,0.191037196043564,0.0634725542559266,0.00129233281130265,0.000333230714155363
